FHRS_ID,BUSINESS_NAME,BUSINESS_TYPE,LOCAL_AUTHORITY_NAME,LATITUDE,LONGITUDE,RATING_VALUE,INCOME_DECILE,PREDICTED_RATING,RISK_SCORE
5263,Roselawn House,Caring Premises,Croydon,51.3423,-0.12497,5,4,pass,0.179
5272,St Aidans Roman Catholic Primary School,School/college/university,Croydon,51.31474,-0.15139,5,8,pass,0.089
5283,Abbeyfield,Caring Premises,Croydon,51.33816,-0.11984,5,5,pass,0.167
5293,Portland Cafe,Restaurant/Cafe/Canteen,Croydon,51.39706,-0.07098,4,2,fail,0.446
5306,Portland Food & Wine,Retailers - other,Croydon,51.39194,-0.06589,5,2,fail,0.527
5307,Orton Chinese Takeaway,Takeaway/sandwich shop,Croydon,51.39947,-0.07424,5,2,fail,0.524
5308,Mantanah Thai Cuisine,Restaurant/Cafe/Canteen,Croydon,51.39947,-0.07424,4,2,fail,0.446
5341,The White House,Caring Premises,Croydon,51.30996,-0.14297,5,10,pass,0.117
5409,Esther Care Homes,Caring Premises,Croydon,51.34155,-0.1226,5,4,pass,0.179
5411,Thomas More School,School/college/university,Croydon,51.34407,-0.12019,5,4,pass,0.12
5414,Russell Hill Lodge,Caring Premises,Croydon,51.34212,-0.11828,4,3,pass,0.191
5416,Raj Of Purley,Takeaway/sandwich shop,Croydon,51.33928,-0.11767,4,3,fail,0.503
5418,Domino's Pizza,Takeaway/sandwich shop,Croydon,51.33929,-0.11711,5,3,fail,0.503
5451,The Chestnuts,Caring Premises,Croydon,51.40938,-0.121,3,2,pass,0.205
5454,Shepherd's Corner,Caring Premises,Croydon,,,5,2,pass,0.205
5476,St Pauls Community Centre And Church,Other catering premises,Croydon,51.40117,-0.09838,5,2,pass,0.322
5480,Pop-In Centre,Caring Premises,Croydon,51.34301,-0.01694,5,2,pass,0.205
5492,The Wine Cellar,Retailers - other,Croydon,51.34821,-0.09421,5,6,fail,0.444
5522,The Boulevard,Restaurant/Cafe/Canteen,Croydon,51.36277,-0.09672,5,2,fail,0.446
5525,Cafe Tresor,Restaurant/Cafe/Canteen,Croydon,51.36311,-0.09751,3,3,fail,0.425
5529,South Croydon Conservative Club,Restaurant/Cafe/Canteen,Croydon,51.36101,-0.09582,4,3,fail,0.425
5543,Tesco Express,Retailers - supermarkets/hypermarkets,Croydon,51.38161,-0.06236,5,2,pass,0.223
5551,Wild Bean Cafe/BP Service Station/Shirley Connect,Retailers - other,Croydon,51.37657,-0.05981,5,7,fail,0.423
5584,Beth Ezra,Caring Premises,Croydon,51.33327,-0.13971,5,9,pass,0.126
5585,Achieve Together,Caring Premises,Croydon,51.32839,-0.13149,5,9,pass,0.126
5600,Charcoal Grill Croydon,Takeaway/sandwich shop,Croydon,51.3671,-0.09919,4,2,fail,0.524
5607,Bagatti's,Restaurant/Cafe/Canteen,Croydon,51.36559,-0.09924,3,2,fail,0.446
5610,South End Supermarket,Retailers - other,Croydon,51.36462,-0.0989,5,2,fail,0.527
5614,The Manse,Caring Premises,Croydon,51.40016,-0.0765,5,3,pass,0.191
5619,Birdhurst Day Nursery,Caring Premises,Croydon,,,5,8,pass,0.135
5622,Bridge General Stores,Retailers - other,Croydon,51.36733,-0.10245,3,2,fail,0.527
5632,Spa Off Licence,Retailers - other,Croydon,51.41204,-0.09336,4,5,fail,0.464
5638,Spring Stores,Retailers - other,Croydon,51.38644,-0.06329,5,1,fail,0.547
5645,Waddon Convenience Store,Retailers - other,Croydon,51.36737,-0.11594,4,4,fail,0.485
5648,Wheelers,Retailers - other,Croydon,51.40865,-0.13087,4,4,fail,0.485
5650,Red Court Care Home,Caring Premises,Croydon,51.36878,-0.08932,5,7,pass,0.145
6159,Clocktower Fruit And Vegetables,Retailers - other,Croydon,51.3977,-0.0765,4,3,fail,0.506
6170,Choice Food And Wine,Retailers - other,Croydon,51.32339,-0.12869,4,8,fail,0.403
6200,Iceland,Retailers - supermarkets/hypermarkets,Croydon,51.37325,-0.102,5,2,pass,0.223
6201,Tullets,Retailers - other,Croydon,51.37286,-0.10161,5,2,fail,0.527
6211,Welch Fruiters,Mobile caterer,Croydon,51.37318,-0.10154,5,,,
6213,Simon Veg And Fruit Stall,Mobile caterer,Croydon,51.37249,-0.10108,5,,,
6252,Shirley High School,School/college/university,Croydon,51.37105,-0.05177,3,7,pass,0.096
6253,Methodist Church Home For The Elderly,Caring Premises,Croydon,51.37105,-0.05177,5,7,pass,0.145
6263,Planet Kebab,Takeaway/sandwich shop,Croydon,51.39777,-0.07765,4,3,fail,0.503
6266,Victory Club,Restaurant/Cafe/Canteen,Croydon,51.39737,-0.08039,5,3,fail,0.425
6267,Fennies Under 5's Day Nursery,Caring Premises,Croydon,51.35297,-0.10013,4,5,pass,0.167
6268,Augustina Lodge,Caring Premises,Croydon,51.35324,-0.10121,Exempt,3,pass,0.191
6272,The Bedford Tavern,Pub/bar/nightclub,Croydon,51.37875,-0.09503,5,3,pass,0.324
6391,Sainsburys,Retailers - supermarkets/hypermarkets,Croydon,51.37703,-0.11955,5,4,pass,0.195
6410,The Surprise,Pub/bar/nightclub,Croydon,51.36777,-0.05349,5,7,pass,0.256
